OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
5066,Bechtel Dr @ Doon Village Rd,2020/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11808,,36.64389054,27.8424954657756
5067,Bechtel Dr @ Doon Village Rd,2020/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11809,,29.23994358,22.8492940839009
5466,Trussler Rd @ Bleams Rd/Ottawa St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Mannheim,Wilmot,DET11810,2018-128,28.89133051,25.6467202137832
5467,Trussler Rd @ Bleams Rd/Ottawa St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Mannheim,Wilmot,DET11811,2018-128,76.00447844,45.4433485674717
5468,Trussler Rd @ Bleams Rd/Ottawa St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11812,2018-128,41.34904476,34.2064387056421
5469,Trussler Rd @ Bleams Rd/Ottawa St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11813,2018-128,41.34904476,34.2064387056421
5866,Ottawa St S @ Windflower Dr/David Bergey Dr,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11814,2018-128,2.9767611,9.12956790625914
5867,Ottawa St S @ Windflower Dr/David Bergey Dr,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11815,2018-128,2.97602677,9.13391417797248
5868,Ottawa St S @ Windflower Dr/David Bergey Dr,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11816,2018-128,2.991519235,9.14978087388777
5869,Ottawa St S @ Windflower Dr/David Bergey Dr,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET11817,2018-128,3.0629379,9.17301597495704
6266,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11818,,36.971584475,25.7154825759035
6267,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11819,,25.08052815,23.9760946042539
6268,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11820,,2.38187903,6.92941249411544
6269,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11821,,5.99629109,14.5753057458293
6270,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11822,,22.9988539,22.4341386213914
6271,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11823,,0.999989075,3.99997815562451
6272,University Ave E @ Woolwich St,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11824,,1.000026065,4.00005213466025
6666,Kossuth Rd @ Beaverdale Rd,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11825,,16.30611842,16.8165572306621
6667,Kossuth Rd @ Beaverdale Rd,2019/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11826,,16.78231365,16.9936621116505
7066,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11830,,23.920055625,20.3890003617086
7067,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11827,,21.785590875,20.5307040998809
7068,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11828,,26.14186909,23.4369993788343
7069,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11829,,19.01905548,18.684914124059
7070,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11831,,16.907933035,17.2761772851338
7071,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11832,,4.624440475,8.60262479108849
7072,Shantz Hill Rd @ Fountain St S,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET11833,,4.62443967,8.6026267065512
7466,Bridge St W @ Eastbridge Blvd,2018/09/01 04:00:00+00,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET11834,,41.03987715,28.1471351567401
