OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56591,13041,Arterial,MAJOR,BLOOMINGDALE RD,NELSON AVE,DANIEL AVE,145,155,164,196,REGIONAL RD 20,2,REG,TwoWay,,,50,10635,2015,24HR,296.243996009254
56604,9217,Arterial,MAJOR,OTTAWA ST N,ROSEDALE AVE,WEBER ST E,120,130,107,113,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 656,4/22/2003 12:00:00 AM,50,18532,2015,24HR,162.864082712216
56613,21423,Arterial,MAJOR,FISCHER HALLMAN RD,PLAINS RD,NEW DUNDEE RD,1990,2320,2015,2315,REGIONAL RD 58,2,REG,TwoWay,REG PLAN 58R-1754,2/9/2004 12:00:00 AM,60,10840,2015,24HR,1881.13074392916
56624,6390,Arterial,MAJOR,WESTMOUNT RD E,GILMOUR CRES,OTTAWA ST S,380,380,379,645,REGIONAL RD 50,5,REG,TwoWay,REG PLAN 1101,4/22/2003 12:00:00 AM,50,19717,2015,7-7 MON-FRI,423.900189713008
56636,12694,Arterial,MAJOR,EDNA ST,C_PKY STR OFFRAMP,C_PKY STR ONRAMP,,,57,57,REGIONAL RD 62,4,REG,TwoWay,REG PLAN 724,4/22/2003 12:00:00 AM,50,20690,2015,7-7 MON-SAT,16.3541192635451
56637,12573,Arterial,MAJOR,BLOOMINGDALE RD,COLYER PL,STANLEY AVE,95,117,96,118,REGIONAL RD 20,2,REG,TwoWay,,,50,10747,2015,24HR,137.308879802349
56657,23067,Arterial,MAJOR,FAIRWAY RD N,THALER AVE,CHICOPEE PARK CRT,222,228,189,227,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 1260,4/22/2003 12:00:00 AM,50,19441,2015,24HR,114.497659089271
56669,16029,Arterial,MAJOR,KING ST E,CRESSMAN AVE,TU LANE ST,4475,4503,4500,4500,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 850,4/22/2003 12:00:00 AM,50,41821,2015,24HR,140.861297565468
56673,12116,Arterial,MAJOR,KING ST E,MORGAN AVE,FAIRWAY RD N,2959,2979,2960,2980,REGIONAL RD  8,6,REG,TwoWay,REG PLAN 589,4/22/2003 12:00:00 AM,50,22263,2015,24HR,178.838888177074
56674,22454,Arterial,MAJOR,LACKNER BLVD,CORFIELD DR,FAIRWAY CRES,,,,,REGIONAL RD 54,3,REG,TwoWay,REG PLAN 1647,4/22/2003 12:00:00 AM,60,9128,2015,24HR,191.70678888866
56682,6744,Arterial,MAJOR,FREDERICK ST,DUKE ST E,WEBER ST E,60,96,85,97,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 348,4/22/2003 12:00:00 AM,50,8470,2015,7-7 MON-SAT,133.441625184877
56713,6903,Arterial,MAJOR,CHARLES ST E,CAMERON ST S,PANDORA AVE S,310,332,301,355,REGIONAL RD 64,2,REG,TwoWay,,,50,11867,2015,24HR,183.15870590279
